Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,,,,,
"Table A-1. Years of School Completed by People 25 Years and Over, by Age and Sex: Selected Years 1940 to 2024",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
Year,Total,Years of school completed,,,,,,,,,,,,,,
,,Elementary,,High school,,College,,Median,,,,,,,,
,,0 to 4 years,5 to 8 years,1 to 3 years,4 years,1 to 3 years,4 years or more,,,,,,,,,
"25 Years and Over, Both Sexes",,,,,,,,,,,,,,,,
2000,"175,230","2,742","9,438","15,674","58,086","44,445","44,845",N,,,,,,,,
1999,"173,754","2,742","9,655","16,443","57,935","43,176","43,803",N,,,,,,,,
1998,"172,211","2,834","9,948","16,776","58,174","42,506","41,973",N,,,,,,,,
1997,"170,581","2,840","10,472","17,211","57,586","41,774","40,697",N,,,,,,,,
1996,"168,323","3,027","10,595","17,102","56,559","41,372","39,668",N,,,,,,,,
1995,"166,438","3,074","10,873","16,566","56,450","41,249","38,226",N,,,,,,,,
1994,"164,512","3,156","11,359","16,925","56,515","40,014","36,544",N,,,,,,,,
1993,"162,826","3,380","11,747","17,067","57,589","37,451","35,590",N,,,,,,,,
1992,"160,827","3,449","11,989","17,672","57,860","35,520","34,337",N,,,,,,,,
1991,"158,694","3,803","13,046","17,379","61,272","29,170","34,026",12.7,,,,,,,,
1990,"156,538","3,833","13,758","17,461","60,119","28,075","33,291",12.7,,,,,,,,
1989,"154,155","3,861","14,061","17,719","59,336","26,614","32,565",12.7,,,,,,,,
1988,"151,635","3,714","14,550","17,847","58,940","25,799","30,787",12.7,,,,,,,,
1987,"149,144","3,640","15,301","17,417","57,669","25,479","29,637",12.7,,,,,,,,
1986,"146,606","3,894","15,672","17,484","56,338","24,729","28,489",12.6,,,,,,,,
1985,"143,524","3,873","16,020","17,553","54,866","23,405","27,808",12.6,,,,,,,,
1984,"140,794","3,884","16,258","17,433","54,073","22,281","26,862",12.6,,,,,,,,
1983,"138,020","4,119","16,714","17,681","52,060","21,531","25,915",12.6,,,,,,,,
1982,"135,526","4,119","17,232","18,006","51,426","20,692","24,050",12.6,,,,,,,,
1981,"132,899","4,358","17,868","18,041","49,915","20,042","22,674",12.5,,,,,,,,
1980,"130,409","4,390","18,426","18,086","47,934","19,379","22,193",12.5,,,,,,,,
