"y.level","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"Some College","(Intercept)",1.04130352331769e-13,0.000117472586402211,-254469.011097179,0,1.04106379907012e-13,1.04154330276621e-13
"Some College","parent_educ_avg",1.1692180907516,0.00413776487164271,37.782530362512,2.19989852690003e-312,1.1597742298906,1.17873885150024
"Some College","incom16_num",1.09790385626322,0.0142608609333614,6.54958891249001,5.76956821830094e-11,1.06764149231753,1.12902400878135
"Some College","sibs_num",0.921291877710583,0.00659851713975148,-12.4237578364607,1.94219709631312e-35,0.909453658567371,0.933284193141344
"Some College","childs_num",0.9332488955005,0.00783680932439911,-8.81523868024343,1.19430354288185e-18,0.919023846439392,0.947694126030864
"Some College","age_num",1.00021591287658,0.000801631940821902,0.269312585678717,0.787689147887113,0.998645637815284,1.0017886570457
"Some College","year_num",1.01408104239936,3.93045461279066e-05,355.755932164974,0,1.01400292517339,1.01415916564337
"Some College","sex_cleanMALE",0.958289480639665,0.0239191900330425,-1.78122146859711,0.0748762777845877,0.914400951615747,1.00428452866543
"Some College","race_cleanOther",0.970038107480758,0.00897083210767757,-3.39098110728369,0.000696429017492215,0.953131470930758,0.987244633781701
"Some College","race_cleanWhite",0.760575677093596,0.0228882779452491,-11.9571976201941,5.95374164904641e-33,0.727210088588855,0.795472133381576
"Some College","res16_cleanBIG-CITY SUBURB",1.22302285738584,0.0214749761572587,9.37489032165726,6.92477274844131e-21,1.17261390799728,1.27559881346017
"Some College","res16_cleanCITY GT 250000",1.09150310436525,0.022782920385793,3.8430429307911,0.000121518201984905,1.0438356333155,1.14134734321615
"Some College","res16_cleanCOUNTRY,NONFARM",0.711243971083951,0.0258328205733964,-13.19018839298,9.99351902874519e-40,0.676129151935763,0.748182481046652
"Some College","res16_cleanFARM",0.704836009422183,0.0267227691383387,-13.0895908341619,3.77636617221538e-39,0.66886985188674,0.742736122396365
"Some College","res16_cleanTOWN LT 50000",0.913520378575775,0.0213563921337625,-4.23524697467562,2.2830064401385e-05,0.876071689034873,0.952569855319236
"Some College","family16_cleanOther Relative",0.7971001900696,0.0074993736592872,-30.2391785500732,7.24001755451877e-201,0.785469695924463,0.808902897598349
"Some College","family16_cleanSingle Parent",0.801887191850583,0.0266596404942355,-8.28170730948614,1.21421729312537e-16,0.76106289648021,0.844901349714839
"Some College","family16_cleanStepparent",0.915896982375901,0.0347954996225713,-2.52479160353174,0.0115766916342103,0.855517002613625,0.980538410998872
"Some College","born_cleanYES",1.17371881378589,0.0149815089988735,10.6916587290983,1.11361281306507e-26,1.13975572529731,1.20869395367643
"Some College","parborn_cleanNeither U.S.",1.35190646363379,0.0177603466781807,16.9769091216601,1.21730423318846e-64,1.30565672492358,1.39979448772937
"Some College","parborn_cleanOne U.S.",1.23671241668704,0.00321920148768156,65.9966711327541,0,1.22893392131478,1.24454014578067
"Bachelor Degree","(Intercept)",3.43805103818444e-19,9.02701487920857e-05,-470966.455507285,0,3.43744281054686e-19,3.43865937344297e-19
"Bachelor Degree","parent_educ_avg",1.3325621236436,0.00546404920124459,52.5440908872246,0,1.31836740695131,1.34690967328739
"Bachelor Degree","incom16_num",1.17238971094901,0.017681076846245,8.99516218048465,2.35883689746171e-19,1.13245730731691,1.21373020021006
"Bachelor Degree","sibs_num",0.8539683089865,0.00838020326655304,-18.8373944850811,3.72874982243639e-79,0.840056530342172,0.868110474013243
"Bachelor Degree","childs_num",0.846311431396941,0.0103868202255333,-16.0653463980696,4.46363892730921e-58,0.829256586511268,0.863717033501555
"Bachelor Degree","age_num",1.01735554638837,0.000962314145573123,17.880501064771,1.67326460267695e-71,1.01543851942827,1.01927619246701
"Bachelor Degree","year_num",1.01905558032137,5.11294696133363e-05,369.186241936706,0,1.01895346392284,1.0191577069537
"Bachelor Degree","sex_cleanMALE",1.01552226950488,0.029149988300727,0.528406091799527,0.597217510284667,0.959128810284235,1.07523146922749
"Bachelor Degree","race_cleanOther",1.47762775662909,0.0117630601827192,33.1918674735016,1.41053962211005e-241,1.44395050037089,1.51209046750557
"Bachelor Degree","race_cleanWhite",1.062956131086,0.0234479684115411,2.60380040043134,0.0092196432404776,1.01521118606717,1.11294650031424
"Bachelor Degree","res16_cleanBIG-CITY SUBURB",1.42017240952556,0.0215115769051602,16.3064884061402,8.87504136822791e-60,1.36153993376911,1.48132979632432
"Bachelor Degree","res16_cleanCITY GT 250000",1.13912880793851,0.0236346839938286,5.5115510207502,3.55685290044202e-08,1.08756433111284,1.19313810130903
"Bachelor Degree","res16_cleanCOUNTRY,NONFARM",0.614918045242512,0.0177511044880681,-27.3935788136801,3.27079163964715e-165,0.593891993482662,0.636688499785123
"Bachelor Degree","res16_cleanFARM",0.685083396215528,0.0112838208270307,-33.5183186287686,2.60731104325502e-246,0.670098485403951,0.700403403370288
"Bachelor Degree","res16_cleanTOWN LT 50000",0.904424600670028,0.0262945718553888,-3.82042112745024,0.00013322400452401,0.858994506986441,0.952257379580719
"Bachelor Degree","family16_cleanOther Relative",0.367915930200925,0.00180717347415221,-553.295426119537,0,0.366615079008176,0.369221397171699
"Bachelor Degree","family16_cleanSingle Parent",0.562232774726368,0.0298838810759957,-19.2692282328543,9.73773232382822e-83,0.53024789489751,0.596147002219802
"Bachelor Degree","family16_cleanStepparent",0.578256875717256,0.0116161139411857,-47.1532123525085,0,0.5652403430572,0.591573157191372
"Bachelor Degree","born_cleanYES",1.00462811966149,0.0147096505547425,0.313905679011467,0.753592677018335,0.976077839203341,1.03401349593015
"Bachelor Degree","parborn_cleanNeither U.S.",1.76959064787661,0.0166971741225573,34.1823258991471,4.42702485169552e-256,1.71261661901111,1.82846004545985
"Bachelor Degree","parborn_cleanOne U.S.",1.22482983786699,0.00319798376587176,63.4155584680191,0,1.21717669624682,1.23253109951511
"Graduate Degree","(Intercept)",1.01924245669233e-18,7.41404629341121e-05,-558770.074700783,0,1.01909435864358e-18,1.01939057626316e-18
"Graduate Degree","parent_educ_avg",1.40451296238801,0.005940931221629,57.178005270658,0,1.3882536432369,1.42096271176817
"Graduate Degree","incom16_num",1.09041179327129,0.0187090819124037,4.62638505154309,3.72103229708477e-06,1.05115156329932,1.13113838234054
"Graduate Degree","sibs_num",0.828598692662797,0.00908821639838871,-20.6882537633865,4.41930113518402e-95,0.813969889922474,0.843490406688003
"Graduate Degree","childs_num",0.824715134294299,0.0112478186990739,-17.1337438124547,8.31290031029304e-66,0.806732965215031,0.843098127957089
"Graduate Degree","age_num",1.02807273590105,0.0010191929580235,27.1645512064998,1.70456358400222e-162,1.02602112664295,1.03012844751186
"Graduate Degree","year_num",1.01807170203836,5.5713966377584e-05,321.46966074785,0,1.01796053735809,1.01818287885819
"Graduate Degree","sex_cleanMALE",1.13049332734771,0.0311107705247381,3.9424967064248,8.06377579620493e-05,1.06361993224393,1.20157127977233
"Graduate Degree","race_cleanOther",1.32933473933812,0.0101599094846892,28.0197989496408,9.32484275677122e-173,1.30312544101189,1.35607117595597
"Graduate Degree","race_cleanWhite",1.12722099008899,0.0195472600416865,6.12644956966774,8.98616705366234e-10,1.08485178849081,1.17124493315795
"Graduate Degree","res16_cleanBIG-CITY SUBURB",1.36846336422568,0.0209517284860924,14.9719617928575,1.11968979861415e-50,1.31340610780591,1.42582859033316
"Graduate Degree","res16_cleanCITY GT 250000",1.14761977289188,0.0223372019896732,6.16415766026205,7.08593166312778e-10,1.09846079577921,1.19897874206622
"Graduate Degree","res16_cleanCOUNTRY,NONFARM",0.689929095098473,0.0162797127106801,-22.7993241646353,4.65646999300877e-115,0.668262580575271,0.712298084764275
"Graduate Degree","res16_cleanFARM",0.724725503597774,0.00937527140363388,-34.3416523838348,1.87650931892748e-258,0.711530136653399,0.738165579374322
"Graduate Degree","res16_cleanTOWN LT 50000",0.862494998809959,0.0277080478761259,-5.33873512980675,9.35972646656279e-08,0.816904808402371,0.910629507037717
"Graduate Degree","family16_cleanOther Relative",0.402377442438974,0.00159897017861111,-569.344401479626,0,0.401118396038489,0.403640440784455
"Graduate Degree","family16_cleanSingle Parent",0.481186828203761,0.0237245106695551,-30.8330771603692,9.44544220393178e-209,0.459324266893439,0.504089986803401
"Graduate Degree","family16_cleanStepparent",0.589535004257371,0.00767868773042618,-68.8165998862449,0,0.58072896255857,0.598474578766486
"Graduate Degree","born_cleanYES",0.770215678141324,0.0152711387034954,-17.0966099478558,1.57291598149356e-65,0.7475040290226,0.793617382411143
"Graduate Degree","parborn_cleanNeither U.S.",1.8779773986955,0.0167792805332057,37.5579480117212,1.045081817857e-308,1.81722127136916,1.94076481800916
"Graduate Degree","parborn_cleanOne U.S.",1.2239167037806,0.00263403982077532,76.709595547481,0,1.21761436532928,1.23025166296234
